Asset_ID,Brand_Content,Placement_Code,Production_Status,Execution_Queue,Asset_Folder,Tracker_Line
FT26-LED04_PAINEL_INTERATIVO-039,Whey Protein Puravida,LED04_PAINEL_INTERATIVO,BLOCKED,04_INTERACTIVE_PENDING_DEFINITION,06_PRODUCTION/04_INTERACTIVE_PENDING_DEFINITION/FT26-LED04_PAINEL_INTERATIVO-039_WHEY_PROTEIN_PURAVIDA,40
FT26-LED04_PAINEL_INTERATIVO-040,Nutren Sênior,LED04_PAINEL_INTERATIVO,BLOCKED,04_INTERACTIVE_PENDING_DEFINITION,06_PRODUCTION/04_INTERACTIVE_PENDING_DEFINITION/FT26-LED04_PAINEL_INTERATIVO-040_NUTREN_SENIOR,41
FT26-LEDS_GONDOLAS-041,Materna,LEDS_GONDOLAS,BLOCKED,05_GONDOLAS_PENDING_MAPPING,06_PRODUCTION/05_GONDOLAS_PENDING_MAPPING/FT26-LEDS_GONDOLAS-041_MATERNA,42
FT26-LEDS_GONDOLAS-042,Nutren Vitaminas,LEDS_GONDOLAS,BLOCKED,05_GONDOLAS_PENDING_MAPPING,06_PRODUCTION/05_GONDOLAS_PENDING_MAPPING/FT26-LEDS_GONDOLAS-042_NUTREN_VITAMINAS,43
FT26-LEDS_GONDOLAS-043,Fiber Mais,LEDS_GONDOLAS,BLOCKED,05_GONDOLAS_PENDING_MAPPING,06_PRODUCTION/05_GONDOLAS_PENDING_MAPPING/FT26-LEDS_GONDOLAS-043_FIBER_MAIS,44
FT26-LEDS_GONDOLAS-044,Nanlac Supreme Pro,LEDS_GONDOLAS,BLOCKED,05_GONDOLAS_PENDING_MAPPING,06_PRODUCTION/05_GONDOLAS_PENDING_MAPPING/FT26-LEDS_GONDOLAS-044_NANLAC_SUPREME_PRO,45
FT26-LEDS_GONDOLAS-045,Nanlac Comfor,LEDS_GONDOLAS,BLOCKED,05_GONDOLAS_PENDING_MAPPING,06_PRODUCTION/05_GONDOLAS_PENDING_MAPPING/FT26-LEDS_GONDOLAS-045_NANLAC_COMFOR,46
FT26-LEDS_GONDOLAS-046,Nestogeno e Nestonutri,LEDS_GONDOLAS,BLOCKED,05_GONDOLAS_PENDING_MAPPING,06_PRODUCTION/05_GONDOLAS_PENDING_MAPPING/FT26-LEDS_GONDOLAS-046_NESTOGENO_E_NESTONUTRI,47
FT26-LEDS_GONDOLAS-047,Nescafé Pró Energy,LEDS_GONDOLAS,BLOCKED,05_GONDOLAS_PENDING_MAPPING,06_PRODUCTION/05_GONDOLAS_PENDING_MAPPING/FT26-LEDS_GONDOLAS-047_NESCAFE_PRO_ENERGY,48
FT26-LEDS_GONDOLAS-048,Nescau Protein,LEDS_GONDOLAS,BLOCKED,05_GONDOLAS_PENDING_MAPPING,06_PRODUCTION/05_GONDOLAS_PENDING_MAPPING/FT26-LEDS_GONDOLAS-048_NESCAU_PROTEIN,49
FT26-LEDS_GONDOLAS-049,Aveias,LEDS_GONDOLAS,BLOCKED,05_GONDOLAS_PENDING_MAPPING,06_PRODUCTION/05_GONDOLAS_PENDING_MAPPING/FT26-LEDS_GONDOLAS-049_AVEIAS,50
FT26-LEDS_GONDOLAS-050,Puravida,LEDS_GONDOLAS,BLOCKED,05_GONDOLAS_PENDING_MAPPING,06_PRODUCTION/05_GONDOLAS_PENDING_MAPPING/FT26-LEDS_GONDOLAS-050_PURAVIDA,51
FT26-LEDS_GONDOLAS-051,Molico,LEDS_GONDOLAS,BLOCKED,05_GONDOLAS_PENDING_MAPPING,06_PRODUCTION/05_GONDOLAS_PENDING_MAPPING/FT26-LEDS_GONDOLAS-051_MOLICO,52
FT26-LEDS_GONDOLAS-052,Ascenda,LEDS_GONDOLAS,BLOCKED,05_GONDOLAS_PENDING_MAPPING,06_PRODUCTION/05_GONDOLAS_PENDING_MAPPING/FT26-LEDS_GONDOLAS-052_ASCENDA,53
FT26-LEDS_GONDOLAS-053,Vital,LEDS_GONDOLAS,BLOCKED,05_GONDOLAS_PENDING_MAPPING,06_PRODUCTION/05_GONDOLAS_PENDING_MAPPING/FT26-LEDS_GONDOLAS-053_VITAL,54
FT26-LED_NINHO-054,Ninho - Patrulha Canina,LED_NINHO,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED_NINHO-054_NINHO_PATRULHA_CANINA,55
FT26-TV_SALA_VIP-055,Logo Nestlé - intercalando com os passaros voando e Nutrition and Health a número 01 em Nutrição no Brasil e no Mundo.,TV_SALA_VIP,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-TV_SALA_VIP-055_LOGO_NESTLE_INTERCALANDO_COM_OS_PASSAROS_VOANDO_E_NUTRITION_AND_HEALTH_A_NUMERO,56
