Asset_ID,Brand_Content,Missing_Item
FT26-LED02_BALCAO_RECEITAS-021,Nestlé Chocolates,Direcional/briefing ausente
FT26-LED02_BALCAO_RECEITAS-021,Nestlé Chocolates,Direcional e enquadramento específicos pendentes
FT26-LED02_BALCAO_RECEITAS-022,Nescafé Pro Energy,NOT_SENT
FT26-LED02_BALCAO_RECEITAS-022,Nescafé Pro Energy,Material não enviado pelo cliente
FT26-LED02_BALCAO_RECEITAS-022,Nescafé Pro Energy,Direcional/briefing ausente
FT26-LED02_BALCAO_RECEITAS-022,Nescafé Pro Energy,Responsável MKT não definido
FT26-LED02_BALCAO_RECEITAS-022,Nescafé Pro Energy,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
FT26-LED02_BALCAO_RECEITAS-023,Nescau Protein RTD,NOT_SENT
FT26-LED02_BALCAO_RECEITAS-023,Nescau Protein RTD,Material não enviado pelo cliente
FT26-LED02_BALCAO_RECEITAS-023,Nescau Protein RTD,Direcional/briefing ausente
FT26-LED02_BALCAO_RECEITAS-023,Nescau Protein RTD,Responsável MKT não definido
FT26-LED02_BALCAO_RECEITAS-023,Nescau Protein RTD,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
FT26-LED02_BALCAO_RECEITAS-024,Nutren Creatina,Direcional e enquadramento específicos pendentes
FT26-LED03_CORREDOR_GLP1-025,Vital,Responsável MKT não definido
FT26-LED03_CORREDOR_GLP1-025,Vital,Direcional e enquadramento específicos pendentes
FT26-LED03_CORREDOR_GLP1-026,Nutren Control,NOT_SENT
FT26-LED03_CORREDOR_GLP1-026,Nutren Control,Material não enviado pelo cliente
FT26-LED03_CORREDOR_GLP1-026,Nutren Control,Direcional/briefing ausente
FT26-LED03_CORREDOR_GLP1-026,Nutren Control,Responsável MKT não definido
FT26-LED03_CORREDOR_GLP1-026,Nutren Control,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
FT26-LED03_CORREDOR_GLP1-027,Nutren Capsulas,NOT_SENT
FT26-LED03_CORREDOR_GLP1-027,Nutren Capsulas,Material não enviado pelo cliente
FT26-LED03_CORREDOR_GLP1-027,Nutren Capsulas,Direcional/briefing ausente
FT26-LED03_CORREDOR_GLP1-027,Nutren Capsulas,Responsável MKT não definido
FT26-LED03_CORREDOR_GLP1-027,Nutren Capsulas,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
FT26-LED03_CORREDOR_GLP1-028,Materna,Responsável MKT não definido
FT26-LED03_CORREDOR_GLP1-028,Materna,Direcional e enquadramento específicos pendentes
FT26-LED03_CORREDOR_GLP1-029,Puravida (Portfólio completo),NOT_SENT
FT26-LED03_CORREDOR_GLP1-029,Puravida (Portfólio completo),Material não enviado pelo cliente
FT26-LED03_CORREDOR_GLP1-029,Puravida (Portfólio completo),Direcional/briefing ausente
FT26-LED03_CORREDOR_GLP1-029,Puravida (Portfólio completo),Responsável MKT não definido
FT26-LED03_CORREDOR_GLP1-030,Molico,NOT_SENT
FT26-LED03_CORREDOR_GLP1-030,Molico,Material não enviado pelo cliente
FT26-LED03_CORREDOR_GLP1-030,Molico,Direcional/briefing ausente
FT26-LED03_CORREDOR_GLP1-030,Molico,Responsável MKT não definido
FT26-LED03_CORREDOR_GLP1-030,Molico,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
FT26-LED04_PAINEL_INTERATIVO-031,Intro Nina,Responsável MKT não definido
FT26-LED04_PAINEL_INTERATIVO-031,Intro Nina,Direcional/briefing ausente
FT26-LED04_PAINEL_INTERATIVO-031,Intro Nina,Direcional e enquadramento específicos pendentes
FT26-LED04_PAINEL_INTERATIVO-031,Intro Nina,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
FT26-LED04_PAINEL_INTERATIVO-031,Intro Nina,Definicao funcional do painel interativo e do fluxo de navegacao.
FT26-LED04_PAINEL_INTERATIVO-032,Materna,Responsável MKT não definido
FT26-LED04_PAINEL_INTERATIVO-032,Materna,Direcional e enquadramento específicos pendentes
FT26-LED04_PAINEL_INTERATIVO-032,Materna,Definicao funcional do painel interativo e do fluxo de navegacao.
FT26-LED04_PAINEL_INTERATIVO-033,Nan Science PRO e APLV,NOT_SENT
FT26-LED04_PAINEL_INTERATIVO-033,Nan Science PRO e APLV,Material não enviado pelo cliente
FT26-LED04_PAINEL_INTERATIVO-033,Nan Science PRO e APLV,Direcional/briefing ausente
FT26-LED04_PAINEL_INTERATIVO-033,Nan Science PRO e APLV,Responsável MKT não definido
FT26-LED04_PAINEL_INTERATIVO-033,Nan Science PRO e APLV,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
FT26-LED04_PAINEL_INTERATIVO-033,Nan Science PRO e APLV,Definicao funcional do painel interativo e do fluxo de navegacao.
FT26-LED04_PAINEL_INTERATIVO-034,Comfor,Responsável MKT não definido
FT26-LED04_PAINEL_INTERATIVO-034,Comfor,Direcional e enquadramento específicos pendentes
FT26-LED04_PAINEL_INTERATIVO-034,Comfor,Definicao funcional do painel interativo e do fluxo de navegacao.
FT26-LED04_PAINEL_INTERATIVO-035,Supreme,Responsável MKT não definido
FT26-LED04_PAINEL_INTERATIVO-035,Supreme,Direcional e enquadramento específicos pendentes
FT26-LED04_PAINEL_INTERATIVO-035,Supreme,Definicao funcional do painel interativo e do fluxo de navegacao.
FT26-LED04_PAINEL_INTERATIVO-036,Ninho Fases 1+ e 3+,Responsável MKT não definido
FT26-LED04_PAINEL_INTERATIVO-036,Ninho Fases 1+ e 3+,Direcional e enquadramento específicos pendentes
FT26-LED04_PAINEL_INTERATIVO-036,Ninho Fases 1+ e 3+,Definicao funcional do painel interativo e do fluxo de navegacao.
FT26-LED04_PAINEL_INTERATIVO-037,Vital,Responsável MKT não definido
FT26-LED04_PAINEL_INTERATIVO-037,Vital,Direcional e enquadramento específicos pendentes
FT26-LED04_PAINEL_INTERATIVO-037,Vital,Definicao funcional do painel interativo e do fluxo de navegacao.
FT26-LED04_PAINEL_INTERATIVO-038,Nutren Protein e Nutren Creatina,Responsável MKT não definido
FT26-LED04_PAINEL_INTERATIVO-038,Nutren Protein e Nutren Creatina,Direcional e enquadramento específicos pendentes
FT26-LED04_PAINEL_INTERATIVO-038,Nutren Protein e Nutren Creatina,Definicao funcional do painel interativo e do fluxo de navegacao.
FT26-LED04_PAINEL_INTERATIVO-039,Whey Protein Puravida,Responsável MKT não definido
FT26-LED04_PAINEL_INTERATIVO-039,Whey Protein Puravida,Direcional e enquadramento específicos pendentes
FT26-LED04_PAINEL_INTERATIVO-039,Whey Protein Puravida,Definicao funcional do painel interativo e do fluxo de navegacao.
FT26-LED04_PAINEL_INTERATIVO-040,Nutren Sênior,Responsável MKT não definido
FT26-LED04_PAINEL_INTERATIVO-040,Nutren Sênior,Direcional e enquadramento específicos pendentes
FT26-LED04_PAINEL_INTERATIVO-040,Nutren Sênior,Definicao funcional do painel interativo e do fluxo de navegacao.
FT26-LEDS_GONDOLAS-041,Materna,Responsável MKT não definido
FT26-LEDS_GONDOLAS-041,Materna,Direcional e enquadramento específicos pendentes
FT26-LEDS_GONDOLAS-041,Materna,"Mapeamento aprovado entre conteudo, nicho fisico e pixel map de gondola."
FT26-LEDS_GONDOLAS-042,Nutren Vitaminas,NOT_SENT
FT26-LEDS_GONDOLAS-042,Nutren Vitaminas,Material não enviado pelo cliente
FT26-LEDS_GONDOLAS-042,Nutren Vitaminas,Direcional/briefing ausente
FT26-LEDS_GONDOLAS-042,Nutren Vitaminas,Responsável MKT não definido
FT26-LEDS_GONDOLAS-042,Nutren Vitaminas,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
FT26-LEDS_GONDOLAS-042,Nutren Vitaminas,"Mapeamento aprovado entre conteudo, nicho fisico e pixel map de gondola."
FT26-LEDS_GONDOLAS-043,Fiber Mais,NOT_SENT
FT26-LEDS_GONDOLAS-043,Fiber Mais,Material não enviado pelo cliente
FT26-LEDS_GONDOLAS-043,Fiber Mais,Direcional/briefing ausente
FT26-LEDS_GONDOLAS-043,Fiber Mais,Responsável MKT não definido
FT26-LEDS_GONDOLAS-043,Fiber Mais,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
FT26-LEDS_GONDOLAS-043,Fiber Mais,"Mapeamento aprovado entre conteudo, nicho fisico e pixel map de gondola."
FT26-LEDS_GONDOLAS-044,Nanlac Supreme Pro,Direcional e enquadramento específicos pendentes
FT26-LEDS_GONDOLAS-044,Nanlac Supreme Pro,"Mapeamento aprovado entre conteudo, nicho fisico e pixel map de gondola."
FT26-LEDS_GONDOLAS-045,Nanlac Comfor,Direcional e enquadramento específicos pendentes
FT26-LEDS_GONDOLAS-045,Nanlac Comfor,"Mapeamento aprovado entre conteudo, nicho fisico e pixel map de gondola."
FT26-LEDS_GONDOLAS-046,Nestogeno e Nestonutri,Responsável MKT não definido
FT26-LEDS_GONDOLAS-046,Nestogeno e Nestonutri,Direcional e enquadramento específicos pendentes
FT26-LEDS_GONDOLAS-046,Nestogeno e Nestonutri,"Mapeamento aprovado entre conteudo, nicho fisico e pixel map de gondola."
FT26-LEDS_GONDOLAS-047,Nescafé Pró Energy,NOT_SENT
FT26-LEDS_GONDOLAS-047,Nescafé Pró Energy,Material não enviado pelo cliente
FT26-LEDS_GONDOLAS-047,Nescafé Pró Energy,Direcional/briefing ausente
FT26-LEDS_GONDOLAS-047,Nescafé Pró Energy,Responsável MKT não definido
FT26-LEDS_GONDOLAS-047,Nescafé Pró Energy,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
FT26-LEDS_GONDOLAS-047,Nescafé Pró Energy,"Mapeamento aprovado entre conteudo, nicho fisico e pixel map de gondola."
FT26-LEDS_GONDOLAS-048,Nescau Protein,NOT_SENT
FT26-LEDS_GONDOLAS-048,Nescau Protein,Material não enviado pelo cliente
FT26-LEDS_GONDOLAS-048,Nescau Protein,Direcional/briefing ausente
FT26-LEDS_GONDOLAS-048,Nescau Protein,Responsável MKT não definido
FT26-LEDS_GONDOLAS-048,Nescau Protein,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
FT26-LEDS_GONDOLAS-048,Nescau Protein,"Mapeamento aprovado entre conteudo, nicho fisico e pixel map de gondola."
FT26-LEDS_GONDOLAS-049,Aveias,NOT_SENT
FT26-LEDS_GONDOLAS-049,Aveias,Material não enviado pelo cliente
FT26-LEDS_GONDOLAS-049,Aveias,Direcional/briefing ausente
FT26-LEDS_GONDOLAS-049,Aveias,Responsável MKT não definido
FT26-LEDS_GONDOLAS-049,Aveias,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
FT26-LEDS_GONDOLAS-049,Aveias,"Mapeamento aprovado entre conteudo, nicho fisico e pixel map de gondola."
FT26-LEDS_GONDOLAS-050,Puravida,NOT_SENT
FT26-LEDS_GONDOLAS-050,Puravida,Material não enviado pelo cliente
FT26-LEDS_GONDOLAS-050,Puravida,Direcional/briefing ausente
FT26-LEDS_GONDOLAS-050,Puravida,Responsável MKT não definido
FT26-LEDS_GONDOLAS-050,Puravida,"Mapeamento aprovado entre conteudo, nicho fisico e pixel map de gondola."
FT26-LEDS_GONDOLAS-051,Molico,NOT_SENT
FT26-LEDS_GONDOLAS-051,Molico,Material não enviado pelo cliente
FT26-LEDS_GONDOLAS-051,Molico,Direcional/briefing ausente
FT26-LEDS_GONDOLAS-051,Molico,Responsável MKT não definido
FT26-LEDS_GONDOLAS-051,Molico,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
FT26-LEDS_GONDOLAS-051,Molico,"Mapeamento aprovado entre conteudo, nicho fisico e pixel map de gondola."
FT26-LEDS_GONDOLAS-052,Ascenda,Responsável MKT não definido
FT26-LEDS_GONDOLAS-052,Ascenda,Direcional e enquadramento específicos pendentes
FT26-LEDS_GONDOLAS-052,Ascenda,"Mapeamento aprovado entre conteudo, nicho fisico e pixel map de gondola."
FT26-LEDS_GONDOLAS-053,Vital,Responsável MKT não definido
FT26-LEDS_GONDOLAS-053,Vital,Direcional e enquadramento específicos pendentes
FT26-LEDS_GONDOLAS-053,Vital,"Mapeamento aprovado entre conteudo, nicho fisico e pixel map de gondola."
FT26-LED_NINHO-054,Ninho - Patrulha Canina,NOT_SENT
FT26-LED_NINHO-054,Ninho - Patrulha Canina,Material não enviado pelo cliente
FT26-LED_NINHO-054,Ninho - Patrulha Canina,Direcional/briefing ausente
FT26-LED_NINHO-054,Ninho - Patrulha Canina,Responsável MKT não definido
FT26-TV_SALA_VIP-055,Logo Nestlé - intercalando com os passaros voando e Nutrition and Health a número 01 em Nutrição no Brasil e no Mundo.,Responsável MKT não definido
FT26-TV_SALA_VIP-055,Logo Nestlé - intercalando com os passaros voando e Nutrition and Health a número 01 em Nutrição no Brasil e no Mundo.,Direcional/briefing ausente
FT26-TV_SALA_VIP-055,Logo Nestlé - intercalando com os passaros voando e Nutrition and Health a número 01 em Nutrição no Brasil e no Mundo.,Direcional e enquadramento específicos pendentes
FT26-TV_SALA_VIP-055,Logo Nestlé - intercalando com os passaros voando e Nutrition and Health a número 01 em Nutrição no Brasil e no Mundo.,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
