Asset_ID,Placement_Code,Placement_Name,Source_Asset,Brand_Content,Owner,Comments_MKT,Source_Link,Brief_Directional,Directional_Status,Roteiro_Status,Material_Link,Slide_Direcional,KV_Status,Mockup_Status,Campaign_Status,Video_Status,Assets_Complementares,Source_Status,Complexity,Input_Status,Production_Status,Approval_Status,Legal_Status,Tech_Status,Priority,Due_Date,Delivery_Link,Blockers,Notes
FT26-LED01_CURVO-011,LED01_CURVO,LED 1 — Frente / Curvo,11,Nutren Sênior,Carolina Gutierrez,,https://wpp.ent.box.com/s/b4u7joi3evur2o32u97yyb7ecpxzqhzm,Utilizar o vídeo de referência e garantir que as mensagens principais surjam em lettering / legenda,Enviado,,https://www.dropbox.com/request/w6i0cr5u5b6ds37kc744,Enviado,,,Enviado,,,,A_ADAPTATION,INPUT_RECEIVED,READY_FOR_PREPROD,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,,Materiais de briefing e arquivos de origem (KVs/videos) confirmados e prontos para pré-produção.
FT26-LED01_CURVO-012,LED01_CURVO,LED 1 — Frente / Curvo,12,Puravida Whey Concentrado,Dani Marra,,,"""Chegou a nova linha de Whey Protein Concentrado Puravida em 5 sabores irresistíveis"" - explorar imagem de cada sabor - Incluir a Tag ""Lançamento""",Enviado,,https://www.dropbox.com/request/fhehw1wat1z1xzhwydxp,Enviado,,,,,,,B_MOTION_KV,INPUT_RECEIVED,READY_FOR_PREPROD,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,,Materiais de briefing e arquivos de origem (KVs/videos) confirmados e prontos para pré-produção.
FT26-LED01_CURVO-013,LED01_CURVO,LED 1 — Frente / Curvo,13,Mucilon,Zé,,,,Não enviado,,https://www.dropbox.com/request/mpbyq93b9iiuud8u1hlh,,,,,,,,B_MOTION_KV,NOT_SENT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,NOT_SENT; Material não enviado pelo cliente; Direcional/briefing ausente; Responsável MKT não definido,Pasta de marca vazia em 02_SOURCE_MATERIALS/MARCAS. Nenhum arquivo de mídia recebido.
FT26-LED01_CURVO-014,LED01_CURVO,LED 1 — Frente / Curvo,14,Nestogeno,,,,"Animação dos Mockups com a frase ""Marca com Maior Volume da Categoria""",Enviado,,https://www.dropbox.com/request/gb28tlrluvb3zdn92ztc,Enviado,,,,,,,B_MOTION_KV,NOT_SENT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,NOT_SENT; Material não enviado pelo cliente; Direcional/briefing ausente; Responsável MKT não definido,Pasta de marca vazia em 02_SOURCE_MATERIALS/MARCAS. Nenhum arquivo de mídia recebido.
FT26-LED01_CURVO-015,LED01_CURVO,LED 1 — Frente / Curvo,15,Nanlac,Thaís Griffel,,https://nestle.sharepoint.com/teams/Marketing-IFGUMs/Documentos%20Compartilhados/Forms/AllItems.aspx?id=%2Fteams%2FMarketing%2DIFGUMs%2FDocumentos%20Compartilhados%2F2026%2FMARCAS%2FNAN%2F02%2E%20COMUNICA%C3%87%C3%83O%20CONSUMIDOR%2FMom%20Science%20%2D%20Nanlac%20Science%2FPe%C3%A7as%2FPE%C3%87AS%20PSD%20ALTA%2FABRAFARMA%5FFI%26GUMS%2FNestle%5FNANLAC%5FMomScience%5FEncounter%5FYT%5F%2816%2D9%29%5F15seg%2Ezip&parent=%2Fteams%2FMarketing%2DIFGUMs%2FDocumentos%20Compartilhados%2F2026%2FMARCAS%2FNAN%2F02%2E%20COMUNICA%C3%87%C3%83O%20CONSUMIDOR%2FMom%20Science%20%2D%20Nanlac%20Science%2FPe%C3%A7as%2FPE%C3%87AS%20PSD%20ALTA%2FABRAFARMA%5FFI%26GUMS&p=true&ga=1,,Enviado,,https://www.dropbox.com/request/7jq9767e8yupmhgkcaw4,Enviado,,,,,,,B_MOTION_KV,WAITING_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,WAITING_INPUT: Direcional/briefing específico ausente; link de material pendente,"Assets de produto presentes na pasta, porém direcional de vídeo ou briefing PPTX ausente."
FT26-LED02_BALCAO_RECEITAS-016,LED02_BALCAO_RECEITAS,LED 2 — Balcão de Receitas,1,Puravida Whey,Dani Marra,,https://nestle-my.sharepoint.com/personal/sarah_ribeiro_br_nestle_com/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fsarah%5Fribeiro%5Fbr%5Fnestle%5Fcom%2FDocuments%2FLeds%20%2D%20Abrafarma%2FPuravida%2F02%2E%20Balc%C3%A3o%20de%20Receitas%2F10%5F04%5FCARROSSEL%5FMANTENDO%5FDEFESA%5FATIVIDADE%5FFISICA%5FOUTONO%5FSOCIAL%5FFEED%2Epsd&parent=%2Fpersonal%2Fsarah%5Fribeiro%5Fbr%5Fnestle%5Fcom%2FDocuments%2FLeds%20%2D%20Abrafarma%2FPuravida%2F02%2E%20Balc%C3%A3o%20de%20Receitas&ga=1,A pureza de um Whey Protein merce um olhar mais atento. Destacar fonte de proteína e ingredientes destacados no rótulo da fórmula.,Enviado,,- Link acima,,N/A,,,,,,B_MOTION_KV,WAITING_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LED02_BALCAO_RECEITAS-017,LED02_BALCAO_RECEITAS,LED 2 — Balcão de Receitas,2,Nutren Sênior,Carolina Gutierrez,,,,Não enviado,,- Link acima,,N/A,,,,,,B_MOTION_KV,PARTIAL_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LED02_BALCAO_RECEITAS-018,LED02_BALCAO_RECEITAS,LED 2 — Balcão de Receitas,3,Molico,,,,,Não enviado,,https://www.dropbox.com/request/vlys1ufim7nvasqvv2rn,,,,,,,,B_MOTION_KV,NOT_SENT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,NOT_SENT; Material não enviado pelo cliente; Direcional/briefing ausente; Responsável MKT não definido,Pasta de marca vazia em 02_SOURCE_MATERIALS/MARCAS. Nenhum arquivo de mídia recebido.
FT26-LED02_BALCAO_RECEITAS-019,LED02_BALCAO_RECEITAS,LED 2 — Balcão de Receitas,4,Vital,Lis Vetorello,,,"Mulher 40+ inspirada na Grazi massafera acordando e chegando na cozinha, fazendo seu ritual diurno preparando o copo com leite. Vital Ritual Matinal Baunilha e vai para um treino de Yoga. ""Se cudar é Vital"" - inserir contém glúten",Enviado,,- Link acima,,,,,,,,C_NARRATIVE,PARTIAL_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LED02_BALCAO_RECEITAS-020,LED02_BALCAO_RECEITAS,LED 2 — Balcão de Receitas,5,Nutren Protein RTD,Thalita Araújo,,,,Enviado,,- Link acima,,,,,,,,B_MOTION_KV,PARTIAL_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LED02_BALCAO_RECEITAS-021,LED02_BALCAO_RECEITAS,LED 2 — Balcão de Receitas,6,Nestlé Chocolates,,Ja temos um Video pronto de Produto - adaptar,,,Não enviado,,https://www.dropbox.com/request/04qq2bvpg1ty47r1l636,,,,,,,,A_ADAPTATION,PARTIAL_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Responsável MKT não definido; Direcional/briefing ausente; Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LED02_BALCAO_RECEITAS-022,LED02_BALCAO_RECEITAS,LED 2 — Balcão de Receitas,7,Nescafé Pro Energy,,Jà temos um Video pronto de Produto - adaptar,,"Mulher com roupa de escritório se preparando para uma reunião e busca o ""telão"" para pegar o produto - Toma o Pró Energy e se sente pronta",Enviado,,https://www.dropbox.com/request/5ia9z69ypx5r0s44f273,,,,,,,,C_NARRATIVE,NOT_SENT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,NOT_SENT; Material não enviado pelo cliente; Direcional/briefing ausente; Responsável MKT não definido,Pasta de marca vazia em 02_SOURCE_MATERIALS/MARCAS. Nenhum arquivo de mídia recebido.
FT26-LED02_BALCAO_RECEITAS-023,LED02_BALCAO_RECEITAS,LED 2 — Balcão de Receitas,8,Nescau Protein RTD,,Jà temos um Video pronto de Produto - adaptar,,"Adolescente com roupa de faculdade e mochila e uma agenda cheia pela frente. Está aparentemente consado da rotina com muitas atividades pra fazer, toma um Nescau Protein RTD e se sente pronto e recarregado pra ir pro treino de basquete.",Enviado,,https://www.dropbox.com/request/ig35u9z0vydgzqz4d6j8,,,,,,,,C_NARRATIVE,NOT_SENT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,NOT_SENT; Material não enviado pelo cliente; Direcional/briefing ausente; Responsável MKT não definido,Pasta de marca vazia em 02_SOURCE_MATERIALS/MARCAS. Nenhum arquivo de mídia recebido.
FT26-LED02_BALCAO_RECEITAS-024,LED02_BALCAO_RECEITAS,LED 2 — Balcão de Receitas,9,Nutren Creatina,Thalita Araújo,,,,Não enviado,,- Link acima,,,,,,,,B_MOTION_KV,WAITING_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LED03_CORREDOR_GLP1-025,LED03_CORREDOR_GLP1,LED 3 — Corredor / GLP-1,1,Vital,,,https://nestle-my.sharepoint.com/personal/sarah_ribeiro_br_nestle_com/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fsarah%5Fribeiro%5Fbr%5Fnestle%5Fcom%2FDocuments%2FLeds%20%2D%20Abrafarma%2FV%C3%ADdeo%20Vital&ga=1,"Combinar e animar as artes de cada SKU (Matinal e Noturno em 1 só). Vital Ritual Matinal: Energia e Foco ao Longo do dia com Taurina e Vitaminas do Complexo B. 23g de proteína adicionada ao leite. Dar mais destaque ao mockup + claims. Vital Ritual Noturno: Descanso e Relaxamento, Inositol, Magnésio e Colágeno. 23g de proteína adicionado ao leite. Destaque no mockup e claims",Enviado,,- Link acima,,,,,,,,B_MOTION_KV,PARTIAL_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Responsável MKT não definido; Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LED03_CORREDOR_GLP1-026,LED03_CORREDOR_GLP1,LED 3 — Corredor / GLP-1,2,Nutren Control,,,Link de vídeo está para o Ascenda,,Não enviado,,https://www.dropbox.com/request/xx308h41zultfkrecb8n,,,,,,,,B_MOTION_KV,NOT_SENT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,NOT_SENT; Material não enviado pelo cliente; Direcional/briefing ausente; Responsável MKT não definido,Pasta de marca vazia em 02_SOURCE_MATERIALS/MARCAS. Nenhum arquivo de mídia recebido.
FT26-LED03_CORREDOR_GLP1-027,LED03_CORREDOR_GLP1,LED 3 — Corredor / GLP-1,3,Nutren Capsulas,,,https://nestle.sharepoint.com/teams/MarketingConsumerCareNHScBR/Shared%20Documents/Forms/AllItems.aspx?id=%2Fteams%2FMarketingConsumerCareNHScBR%2FShared%20Documents%2FNutren%20Adultos%2FArtes%2FV%C3%ADdeos%2FVIDEO%20MULTIS%5F1920x1080px%2Emp4%2Ezip&parent=%2Fteams%2FMarketingConsumerCareNHScBR%2FShared%20Documents%2FNutren%20Adultos%2FArtes%2FV%C3%ADdeos&p=true&ct=1785849567192&or=Teams%2DHL&ga=1&LOF=1,Manter descrição dos diferenciais com selo de destaque - foco nos multivitaminicos. Adaptar,Enviado,,https://www.dropbox.com/request/ru2aqerf6edz9scb4z2t,,,,,,,,A_ADAPTATION,NOT_SENT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,NOT_SENT; Material não enviado pelo cliente; Direcional/briefing ausente; Responsável MKT não definido,Pasta de marca vazia em 02_SOURCE_MATERIALS/MARCAS. Nenhum arquivo de mídia recebido.
FT26-LED03_CORREDOR_GLP1-028,LED03_CORREDOR_GLP1,LED 3 — Corredor / GLP-1,4,Materna,,retirar,,,Enviado,,- Link acima,,,,,,,,B_MOTION_KV,WAITING_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Responsável MKT não definido; Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LED03_CORREDOR_GLP1-029,LED03_CORREDOR_GLP1,LED 3 — Corredor / GLP-1,5,Puravida (Portfólio completo),,,,,Enviado,,https://www.dropbox.com/request/5m7hytc79ptv3xvym5v5,,,,,,,,B_MOTION_KV,NOT_SENT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,NOT_SENT; Material não enviado pelo cliente; Direcional/briefing ausente; Responsável MKT não definido,Pasta de marca vazia em 02_SOURCE_MATERIALS/MARCAS. Nenhum arquivo de mídia recebido.
FT26-LED03_CORREDOR_GLP1-030,LED03_CORREDOR_GLP1,LED 3 — Corredor / GLP-1,6,Molico,,,,Juntar vídeos em 1 único vídeo de portfólio,,,- Link acima,,,,,,,,A_ADAPTATION,NOT_SENT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,NOT_SENT; Material não enviado pelo cliente; Direcional/briefing ausente; Responsável MKT não definido,Pasta de marca vazia em 02_SOURCE_MATERIALS/MARCAS. Nenhum arquivo de mídia recebido.
FT26-LED04_PAINEL_INTERATIVO-031,LED04_PAINEL_INTERATIVO,LED 4 — Painel Interativo,0,Intro Nina,,,,Nutrição e saúde em todas as fases da vida,,,,,,,,,,,D_INTERACTIVE,WAITING_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Responsável MKT não definido; Direcional/briefing ausente; Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LED04_PAINEL_INTERATIVO-032,LED04_PAINEL_INTERATIVO,LED 4 — Painel Interativo,1,Materna,,,Link Wetransfer expirado,,Enviado,,- Link acima,,,,,,,,D_INTERACTIVE,WAITING_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Responsável MKT não definido; Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LED04_PAINEL_INTERATIVO-033,LED04_PAINEL_INTERATIVO,LED 4 — Painel Interativo,2,Nan Science PRO e APLV,,,,,Enviado,,https://www.dropbox.com/request/f7bs8vl2zotsxzp0cnzn,,,,,,,,D_INTERACTIVE,NOT_SENT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,NOT_SENT; Material não enviado pelo cliente; Direcional/briefing ausente; Responsável MKT não definido,Pasta de marca vazia em 02_SOURCE_MATERIALS/MARCAS. Nenhum arquivo de mídia recebido.
FT26-LED04_PAINEL_INTERATIVO-034,LED04_PAINEL_INTERATIVO,LED 4 — Painel Interativo,3,Comfor,,,https://nestle.sharepoint.com/teams/NINHOSHAREPOINT/Documentos%20Compartilhados/Forms/AllItems.aspx?id=%2Fteams%2FNINHOSHAREPOINT%2FDocumentos%20Compartilhados%2F13%2E%20FASES%2F%235%2E%20COMUNICA%C3%87%C3%83O%20%26%20M%C3%8DDIA%2F1%2B%20%2D%20LATAM%2FPE%C3%87AS%20FINAIS%2FC%C3%B3pias%2FC%C3%B3pias%2F30%27%27&p=true&ga=1,,Enviado,,- Link acima,,,,,,,,D_INTERACTIVE,PARTIAL_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Responsável MKT não definido; Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LED04_PAINEL_INTERATIVO-035,LED04_PAINEL_INTERATIVO,LED 4 — Painel Interativo,4,Supreme,,,https://nestle.sharepoint.com/teams/NINHOSHAREPOINT/Documentos%20Compartilhados/Forms/AllItems.aspx?id=%2Fteams%2FNINHOSHAREPOINT%2FDocumentos%20Compartilhados%2F13%2E%20FASES%2F%235%2E%20COMUNICA%C3%87%C3%83O%20%26%20M%C3%8DDIA%2F1%2B%20%2D%20LATAM%2FPE%C3%87AS%20FINAIS%2FC%C3%B3pias%2FC%C3%B3pias%2F30%27%27&p=true&ga=1,,Não enviado,,- Link acima,,,,,,,,D_INTERACTIVE,PARTIAL_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Responsável MKT não definido; Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LED04_PAINEL_INTERATIVO-036,LED04_PAINEL_INTERATIVO,LED 4 — Painel Interativo,5,Ninho Fases 1+ e 3+,,,,,Não enviado,,- Link acima,,,,,,,,D_INTERACTIVE,PARTIAL_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Responsável MKT não definido; Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LED04_PAINEL_INTERATIVO-037,LED04_PAINEL_INTERATIVO,LED 4 — Painel Interativo,6,Vital,,,,,Enviado,,- Link acima,,,,,,,,D_INTERACTIVE,PARTIAL_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Responsável MKT não definido; Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LED04_PAINEL_INTERATIVO-038,LED04_PAINEL_INTERATIVO,LED 4 — Painel Interativo,7,Nutren Protein e Nutren Creatina,,,,,Não enviado,,- Link acima,,,,,,,,D_INTERACTIVE,PARTIAL_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Responsável MKT não definido; Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LED04_PAINEL_INTERATIVO-039,LED04_PAINEL_INTERATIVO,LED 4 — Painel Interativo,8,Whey Protein Puravida,,,,,Enviado,,- Link acima,,,,,,,,D_INTERACTIVE,WAITING_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Responsável MKT não definido; Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LED04_PAINEL_INTERATIVO-040,LED04_PAINEL_INTERATIVO,LED 4 — Painel Interativo,9,Nutren Sênior,,,,,Enviado,,- Link acima,,,,,,,,D_INTERACTIVE,PARTIAL_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Responsável MKT não definido; Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LEDS_GONDOLAS-041,LEDS_GONDOLAS,LEDs de Gôndolas,1,Materna,,,,,,,- Link acima,,,,,,,,B_MOTION_KV,WAITING_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,Responsável MKT não definido; Direcional e enquadramento específicos pendentes,"Assets brutos de marca existentes na pasta base, mas sem roteiro/briefing específico aprovado para esta tela."
FT26-LEDS_GONDOLAS-042,LEDS_GONDOLAS,LEDs de Gôndolas,2,Nutren Vitaminas,,,,"Adaptar vídeo da linha AZ 2025 com atualização de identidade visual, packshots e mesnagem final da campanha.",,,- Link acima,,,,,,,,A_ADAPTATION,NOT_SENT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,NOT_SENT; Material não enviado pelo cliente; Direcional/briefing ausente; Responsável MKT não definido,Pasta de marca vazia em 02_SOURCE_MATERIALS/MARCAS. Nenhum arquivo de mídia recebido.
FT26-LEDS_GONDOLAS-043,LEDS_GONDOLAS,LEDs de Gôndolas,3,Fiber Mais,,,,,,,https://www.dropbox.com/request/xdzz09fqqckvszwabmz0,,,,,,,,B_MOTION_KV,NOT_SENT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,NOT_SENT; Material não enviado pelo cliente; Direcional/briefing ausente; Responsável MKT não definido,Pasta de marca vazia em 02_SOURCE_MATERIALS/MARCAS. Nenhum arquivo de mídia recebido.
